player,hot_n_total,hot_regression_total,hot_n_b2b,hot_regression_b2b,hot_n_rested,hot_regression_rested
Keaton Wallace,3,1.56,1,2.33,2,1.17
Keldon Johnson,5,1.93,1,2.33,4,1.83
Kenrich Williams,8,1.12,2,1.83,6,0.89
Kentavious Caldwell-Pope,6,1.78,2,3.17,4,1.08
Keon Ellis,3,2.78,2,2.5,1,3.33
Keon Johnson,6,1.72,1,3.0,5,1.47
Kevin Huerter,4,2.08,0,,4,2.08
Kevin Porter Jr.,3,1.11,1,-0.67,2,2.0
Keyonte George,2,2.67,0,,2,2.67
Khris Middleton,5,1.13,0,,5,1.13
Klay Thompson,4,3.33,1,3.0,3,3.44
Kris Dunn,1,1.67,0,,1,1.67
Kristaps Porziņģis,4,2.42,0,,4,2.42
Kyle Filipowski,9,0.89,2,1.83,7,0.62
Kyle Kuzma,3,1.44,0,,3,1.44
Kyle Lowry,6,0.83,0,,6,0.83
Kyshawn George,5,1.8,2,1.83,3,1.78
LaMelo Ball,0,,0,,0,
Landry Shamet,3,1.67,2,2.83,1,-0.67
Lauri Markkanen,3,2.67,0,,3,2.67
Lindy Waters III,0,,0,,0,
Lonzo Ball,4,1.5,0,,4,1.5
Luguentz Dort,3,4.11,0,,3,4.11
Luke Kennard,2,4.0,1,4.0,1,4.0
Malik Beasley,3,1.78,2,2.0,1,1.33
Malik Monk,6,1.17,1,1.33,5,1.13
Marcus Smart,2,3.0,0,,2,3.0
Matas Buzelis,8,1.17,2,2.33,6,0.78
Max Christie,10,1.3,4,1.0,6,1.5
Max Strus,1,3.0,0,,1,3.0
Micah Potter,0,,0,,0,
Mike Conley,0,,0,,0,
Miles Bridges,7,1.86,1,4.0,6,1.5
Miles McBride,3,1.67,0,,3,1.67
Moritz Wagner,2,1.5,0,,2,1.5
Moses Moody,2,2.33,0,,2,2.33
Mouhamed Gueye,1,1.67,0,,1,1.67
Myles Turner,3,1.33,0,,3,1.33
Naji Marshall,4,0.75,2,0.5,2,1.0
Naz Reid,4,1.08,2,1.0,2,1.17
Nick Smith Jr.,3,2.0,0,,3,2.0
Nickeil Alexander-Walker,4,2.25,1,2.0,3,2.33
Nicolas Batum,7,0.86,1,1.33,6,0.78
Nikola Jović,3,1.0,1,0.0,2,1.5
Nikola Vučević,6,1.78,2,1.0,4,2.17
Noah Clowney,2,1.83,1,3.0,1,0.67
Obi Toppin,7,1.62,2,3.0,5,1.07
Ochai Agbaji,5,1.4,0,,5,1.4
Onyeka Okongwu,5,1.0,2,1.67,3,0.56
Patrick Williams,2,2.17,0,,2,2.17
Payton Pritchard,6,3.0,1,0.33,5,3.53
Peyton Watson,5,1.33,0,,5,1.33
Quentin Grimes,6,2.11,0,,6,2.11
Quinten Post,3,1.33,0,,3,1.33
Ricky Council IV,6,1.67,1,1.67,5,1.67
Royce O'Neale,6,2.0,1,1.67,5,2.07
Rui Hachimura,1,2.67,0,,1,2.67
Russell Westbrook,3,1.56,0,,3,1.56
Ryan Dunn,7,0.76,0,,7,0.76
Sam Hauser,3,2.11,0,,3,2.11
Sam Merrill,3,1.44,1,2.0,2,1.17
Santi Aldama,0,,0,,0,
Scoot Henderson,5,1.47,1,1.33,4,1.5
Scotty Pippen Jr.,7,1.38,1,-0.67,6,1.72
Seth Curry,4,1.67,2,1.83,2,1.5
Shaedon Sharpe,3,1.67,0,,3,1.67
Simone Fontecchio,1,2.33,0,,1,2.33
Spencer Dinwiddie,7,1.62,1,0.67,6,1.78
Stephon Castle,5,1.33,0,,5,1.33
Svi Mykhailiuk,2,2.83,0,,2,2.83
Tari Eason,2,0.67,0,,2,0.67
Taurean Prince,3,2.22,0,,3,2.22
Terance Mann,4,0.75,1,-2.0,3,1.67
Terry Rozier,5,0.53,0,,5,0.53
Tidjane Salaün,2,1.33,1,2.33,1,0.33
Tim Hardaway Jr.,4,2.17,1,3.33,3,1.78
Tobias Harris,7,1.71,1,0.67,6,1.89
Trendon Watford,0,,0,,0,
Trey Lyles,5,1.93,1,2.0,4,1.92
Tristan da Silva,2,2.83,0,,2,2.83
Ty Jerome,6,2.28,1,4.0,5,1.93
Tyrese Martin,4,1.92,1,0.33,3,2.44
Tyus Jones,6,1.22,1,-0.33,5,1.53
Vasilije Micic,2,1.17,0,,2,1.17
Vít Krejčí,2,3.17,0,,2,3.17
Wendell Carter Jr.,8,1.0,2,0.83,6,1.06
Zaccharie Risacher,4,2.83,1,3.33,3,2.67
Ziaire Williams,5,2.6,1,3.67,4,2.33
