player,stat,season_avg,during_hot,next_game_stat,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins
Aaron Gordon,PRA,22.725490196078432,36.666666666666664,23.0,22.725490196078432,36.666666666666664,23.0,0.27450980392156765,13.666666666666664,True
Aaron Gordon,PRA,22.725490196078432,37.333333333333336,30.0,22.725490196078432,37.333333333333336,30.0,7.274509803921568,7.333333333333336,True
Aaron Gordon,PRA,22.725490196078432,38.0,25.0,22.725490196078432,38.0,25.0,2.2745098039215677,13.0,True
Aaron Nesmith,PRA,17.177777777777777,26.666666666666668,17.0,17.177777777777777,26.666666666666668,17.0,0.17777777777777715,9.666666666666668,True
Aaron Nesmith,PRA,17.177777777777777,27.333333333333332,20.0,17.177777777777777,27.333333333333332,20.0,2.822222222222223,7.333333333333332,True
Aaron Nesmith,PRA,17.177777777777777,27.0,10.0,17.177777777777777,27.0,10.0,7.177777777777777,17.0,True
Aaron Wiggins,PRA,17.67105263157895,33.333333333333336,23.0,17.67105263157895,33.333333333333336,23.0,5.328947368421051,10.333333333333336,True
Aaron Wiggins,PRA,17.67105263157895,28.666666666666668,26.0,17.67105263157895,28.666666666666668,26.0,8.328947368421051,2.666666666666668,False
Aaron Wiggins,PRA,17.67105263157895,29.333333333333332,18.0,17.67105263157895,29.333333333333332,18.0,0.3289473684210513,11.333333333333332,True
Adem Bona,PRA,10.5,22.666666666666668,25.0,10.5,22.666666666666668,25.0,14.5,2.333333333333332,False
Adem Bona,PRA,10.5,21.0,14.0,10.5,21.0,14.0,3.5,7.0,True
Adem Bona,PRA,10.5,20.666666666666668,15.0,10.5,20.666666666666668,15.0,4.5,5.666666666666668,True
Adem Bona,PRA,10.5,21.333333333333332,19.0,10.5,21.333333333333332,19.0,8.5,2.333333333333332,False
Adem Bona,PRA,10.5,22.666666666666668,34.0,10.5,22.666666666666668,34.0,23.5,11.333333333333332,False
Adem Bona,PRA,10.5,25.0,16.0,10.5,25.0,16.0,5.5,9.0,True
Adem Bona,PRA,10.5,23.0,28.0,10.5,23.0,28.0,17.5,5.0,False
Adem Bona,PRA,10.5,26.0,26.0,10.5,26.0,26.0,15.5,0.0,False
Adem Bona,PRA,10.5,23.333333333333332,25.0,10.5,23.333333333333332,25.0,14.5,1.6666666666666679,False
Adem Bona,PRA,10.5,26.333333333333332,25.0,10.5,26.333333333333332,25.0,14.5,1.3333333333333321,False
Ajay Mitchell,PRA,10.166666666666666,19.666666666666668,21.0,10.166666666666666,19.666666666666668,21.0,10.833333333333334,1.3333333333333321,False
Al Horford,PRA,17.25,26.333333333333332,34.0,17.25,26.333333333333332,34.0,16.75,7.666666666666668,False
