player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression
Jose Alvarado,1.39,1,2.0,1,-1.0,51,-0.07
Josh Giddey,1.02,5,2.13,0,,72,-0.15
Josh Green,1.26,7,1.29,4,-0.75,43,-0.09
Josh Richardson,1.53,2,0.5,0,,38,-0.03
Julian Champagnie,1.36,3,1.33,0,,68,-0.1
Keldon Johnson,1.84,3,1.78,3,-1.0,60,-0.03
Kelly Olynyk,0.77,4,0.92,0,,71,-0.05
Kelly Oubre Jr.,1.49,5,1.73,0,,60,-0.16
Kentavious Caldwell-Pope,1.64,6,1.44,1,-3.0,66,-0.07
Keon Ellis,1.23,3,1.67,0,,51,-0.11
Kevin Huerter,1.92,7,0.95,1,-3.0,53,-0.03
Kevin Knox II,1.0,1,1.33,0,,27,0.07
Kevin Love,1.53,4,2.08,1,-2.0,47,-0.12
Keyonte George,1.96,4,2.5,0,,68,-0.2
Khris Middleton,1.71,1,2.0,2,-1.83,49,0.02
Klay Thompson,3.48,1,-0.33,3,-2.67,70,0.09
Kris Murray,0.79,5,1.4,0,,54,-0.17
Kristaps Porziņģis,1.93,5,1.4,2,-2.17,47,-0.04
Kyle Lowry,1.63,3,1.33,3,-0.33,51,-0.03
Landry Shamet,1.15,2,1.83,1,-3.0,40,0.07
Lonnie Walker IV,1.79,2,2.83,2,-0.5,51,-0.05
Luguentz Dort,1.97,3,1.67,2,-2.17,71,-0.01
Luke Kennard,2.74,2,1.17,3,-2.44,31,0.05
Malaki Branham,1.24,7,1.48,0,,65,-0.18
Malcolm Brogdon,2.1,2,3.5,0,,34,-0.15
Malik Beasley,2.84,3,3.56,2,-2.83,71,-0.05
Malik Monk,2.06,6,1.72,7,-0.62,56,-0.01
Marcus Morris Sr.,0.98,4,1.83,0,,42,-0.2
Marcus Sasser,1.27,8,0.88,0,,60,-0.18
Matisse Thybulle,1.23,3,1.22,1,-1.0,58,-0.04
Max Strus,2.4,2,2.83,2,-1.33,63,-0.01
Maxi Kleber,0.74,2,1.83,0,,38,-0.12
Michael Porter Jr.,2.72,4,3.42,1,-3.0,73,-0.11
Mike Conley,2.36,3,1.78,2,-2.83,68,-0.04
Miles McBride,1.6,6,1.56,0,,59,-0.17
Moses Moody,1.09,5,1.67,0,,58,-0.13
Myles Turner,1.51,4,2.58,0,,70,-0.16
Naji Marshall,0.88,7,0.86,0,,56,-0.02
Naz Reid,2.09,6,2.17,0,,72,-0.15
Nickeil Alexander-Walker,1.6,5,1.53,0,,74,-0.12
Nicolas Batum,1.22,2,2.5,0,,55,-0.08
Nikola Jović,1.41,3,1.89,1,-2.0,39,-0.15
Norman Powell,2.2,3,2.67,1,-1.33,69,-0.08
Obi Toppin,1.24,4,1.25,4,-0.75,71,-0.05
Ochai Agbaji,0.79,6,1.17,0,,69,-0.11
P.J. Washington,1.81,5,2.13,0,,65,-0.17
Pat Connaughton,1.08,5,1.67,1,-3.0,67,-0.04
Patrick Beverley,0.84,6,1.06,0,,64,-0.11
Patrick Williams,1.37,6,1.0,1,-1.0,33,-0.22
Payton Pritchard,1.79,8,1.38,2,-1.5,69,-0.2
Quentin Grimes,1.59,3,1.78,2,-1.5,43,0.02
RJ Barrett,1.55,6,1.78,0,,49,-0.16
Rayan Rupert,0.72,1,2.0,0,,35,-0.13
Reggie Jackson,1.24,7,1.38,2,-0.5,70,-0.11
Royce O'Neale,1.97,5,2.93,4,-2.0,67,-0.08
Rui Hachimura,1.44,3,1.56,2,-1.0,60,-0.05
Russell Westbrook,0.62,2,1.33,0,,63,-0.01
Sam Hauser,2.49,5,1.87,3,-1.67,68,-0.14
Sam Merrill,2.34,3,3.67,2,-1.5,53,-0.13
Santi Aldama,1.74,7,2.05,0,,51,-0.26
Scoot Henderson,1.4,1,1.0,1,-2.0,57,-0.11
Simone Fontecchio,2.03,1,2.67,3,-1.11,59,-0.04
Spencer Dinwiddie,1.63,2,1.83,3,-0.67,68,0.02
Talen Horton-Tucker,1.18,2,1.67,0,,46,-0.09
Taurean Prince,1.81,6,0.89,3,-2.44,66,0.08
Taylor Hendricks,1.32,4,0.67,0,,33,-0.09
Terance Mann,0.95,7,1.0,6,-1.17,59,-0.0
Tim Hardaway Jr.,2.67,2,4.33,1,-2.67,73,-0.03
Torrey Craig,1.13,2,2.5,0,,48,-0.11
Toumani Camara,0.83,3,1.67,0,,64,-0.12
Tre Jones,0.83,6,1.28,0,,68,-0.12
Tre Mann,1.15,2,1.0,3,-1.0,33,-0.11
Trey Lyles,1.45,4,1.67,0,,51,-0.1
Trey Murphy III,2.96,4,2.92,1,-5.0,49,-0.21
Tyus Jones,1.61,4,2.17,1,-3.0,58,-0.09
Vasilije Micic,0.72,4,1.67,0,,53,-0.13
Victor Wembanyama,1.8,3,1.67,2,-2.17,63,-0.1
Vince Williams Jr.,1.52,3,1.33,5,-0.67,41,-0.11
Wendell Carter Jr.,1.16,4,0.83,2,-1.5,46,0.0
Zach Collins,0.84,2,1.33,0,,64,-0.07
Ziaire Williams,1.14,1,1.67,0,,47,0.01
