player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression
Aaron Holiday,1.08,8,1.12,0,,67,-0.14
Aaron Nesmith,1.94,3,2.89,1,-0.67,65,-0.07
Al Horford,1.66,4,0.83,3,-0.78,55,-0.06
Alec Burks,1.88,11,1.03,3,-0.67,49,-0.03
Alex Caruso,1.92,8,1.79,2,-1.17,58,-0.26
Amir Coffey,1.0,3,1.89,0,,64,-0.13
Andrew Nembhard,0.9,3,1.67,4,-0.75,58,-0.08
Andrew Wiggins,1.28,1,0.67,0,,67,-0.04
Ayo Dosunmu,1.57,6,2.17,1,-3.0,66,-0.21
Bennedict Mathurin,1.36,3,1.78,0,,53,-0.1
Bilal Coulibaly,1.02,7,1.48,0,,53,-0.21
Bobby Portis,1.22,5,1.53,0,,74,-0.15
Bogdan Bogdanović,3.04,4,2.17,0,,72,-0.11
Bojan Bogdanovic,2.33,2,2.33,3,-0.67,49,-0.06
Brandin Podziemski,1.22,5,1.4,7,-0.86,59,-0.05
Brice Sensabaugh,1.06,2,3.17,0,,27,-0.36
Brook Lopez,1.87,3,1.78,1,-5.67,72,0.01
Bruce Brown,0.79,2,2.0,0,,62,-0.01
Buddy Hield,2.61,10,1.9,1,-1.33,70,-0.27
Caleb Martin,1.27,5,1.13,1,-1.0,55,-0.1
Cam Reddish,0.77,6,1.11,0,,39,-0.18
Cam Thomas,2.18,2,3.5,2,-1.33,59,-0.16
Cam Whitmore,1.68,3,1.0,5,-0.93,36,-0.1
Cameron Johnson,2.38,2,2.33,3,-1.11,50,0.02
Cameron Payne,1.33,1,2.33,0,,74,-0.01
Caris LeVert,1.59,4,2.75,4,-0.92,57,-0.06
Cason Wallace,1.2,3,1.89,1,-2.0,75,-0.06
Cedi Osman,1.19,4,0.42,2,-1.5,63,0.03
Chet Holmgren,1.57,6,1.83,0,,73,-0.11
Chris Paul,1.34,6,1.78,1,-1.0,48,-0.23
Christian Braun,0.77,7,0.86,0,,72,-0.12
Christian Wood,0.7,8,0.79,0,,39,-0.14
Cole Anthony,1.15,7,0.81,3,-2.0,68,0.02
Collin Sexton,1.64,5,1.93,1,-2.0,69,-0.14
Corey Kispert,2.3,2,3.33,2,-0.83,73,-0.05
Dalano Banton,1.09,7,1.24,0,,44,-0.24
Dante Exum,0.96,4,1.83,0,,48,-0.17
Dario Saric,1.16,5,1.8,0,,56,-0.14
David Roddy,0.74,5,1.2,0,,57,-0.05
Davion Mitchell,0.79,4,1.08,0,,65,-0.11
Davis Bertans,1.77,7,0.81,0,,33,-0.3
De'Andre Hunter,2.05,1,2.67,0,,53,-0.01
De'Anthony Melton,2.03,3,1.56,0,,32,-0.15
Dean Wade,1.46,6,1.22,0,,45,-0.18
Deni Avdija,1.17,4,1.0,1,-1.0,67,-0.05
Dennis Schröder,1.72,8,2.04,0,,69,-0.17
Derrick Jones Jr.,1.08,4,2.75,0,,69,-0.12
Dillon Brooks,1.85,7,2.05,1,-1.67,61,-0.17
Donte DiVincenzo,3.49,7,1.81,2,-1.17,69,-0.21
Dorian Finney-Smith,1.72,6,0.61,7,-0.86,52,0.17
Draymond Green,0.93,1,2.67,0,,51,-0.08
Duncan Robinson,2.75,6,1.72,2,-3.33,57,0.0
Duop Reath,1.29,2,2.83,1,-2.0,62,-0.06
Dyson Daniels,0.69,5,1.2,0,,53,-0.12
Eric Gordon,2.21,7,2.62,1,-3.67,57,-0.21
Evan Fournier,1.03,2,0.83,0,,27,-0.04
GG Jackson,2.12,3,0.56,1,-2.0,41,-0.22
Garrison Mathews,1.29,5,1.13,2,-1.0,56,-0.1
Gary Harris,1.41,5,1.13,1,-2.0,45,0.0
Gary Trent Jr.,2.51,1,3.0,1,-1.33,66,0.0
Georges Niang,1.82,8,1.42,8,-1.5,63,-0.07
Gradey Dick,1.47,3,2.11,0,,54,-0.12
Grant Williams,1.66,4,1.67,0,,69,-0.06
Harrison Barnes,1.82,7,2.76,1,-2.0,71,-0.26
Haywood Highsmith,1.15,5,1.93,0,,58,-0.14
Herbert Jones,1.5,1,2.0,0,,72,-0.08
Immanuel Quickley,2.51,3,0.78,4,-1.58,58,-0.01
Isaac Okoro,1.22,7,0.71,1,-1.0,58,-0.1
Isaiah Joe,1.88,8,0.75,2,-3.17,65,0.04
Isaiah Stewart,1.46,1,1.67,2,-2.17,40,0.05
Jabari Smith Jr.,1.82,3,0.44,3,-1.67,67,0.06
Jacob Gilyard,1.24,7,0.9,0,,31,-0.18
Jaden Ivey,1.61,6,1.89,2,-1.0,66,-0.14
Jaden McDaniels,1.19,8,1.38,3,-0.67,58,-0.18
Jae Crowder,1.16,4,1.25,0,,43,-0.14
Jaime Jaquez Jr.,0.87,4,0.67,0,,68,-0.05
Jake LaRavia,1.51,2,1.33,0,,30,-0.32
Jalen Green,2.45,9,1.7,2,-1.17,68,-0.25
Jalen Smith,1.0,3,1.33,2,-0.5,53,-0.07
Jalen Suggs,2.04,4,2.5,2,-2.17,66,-0.07
Jalen Williams,1.45,6,1.72,0,,62,-0.16
Jamal Murray,2.46,2,1.67,0,,54,-0.12
Jeff Green,0.68,6,0.94,0,,69,-0.12
Jeremy Sochan,0.95,3,2.44,0,,68,-0.12
Joe Ingles,1.03,0,,0,,65,-0.02
John Collins,1.26,0,,1,-1.0,64,-0.05
John Konchar,0.69,3,1.33,0,,49,-0.09
Jonathan Kuminga,0.72,6,1.28,0,,65,-0.11
Jordan Clarkson,1.65,4,2.67,0,,48,-0.19
Jordan Goodwin,0.74,2,1.5,0,,52,-0.06
Jordan Hawkins,1.63,10,1.73,0,,54,-0.27
Jordan Poole,2.36,2,3.83,0,,73,-0.17
