player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression,PLAYER_NAME,FG3A,MIN,GP,volume_tier,years_pro,experience_tier
DaQuan Jeffries,1.17,8,0.67,4,-0.5,32,-0.09,DaQuan Jeffries,3.5,22.8,47,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Dalano Banton,1.07,2,1.33,0,,62,-0.1,Dalano Banton,3.3,16.7,67,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Dalton Knecht,1.64,6,1.94,0,,69,-0.2,Dalton Knecht,4.4,19.2,78,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Darius Garland,2.83,3,3.11,2,-1.67,67,-0.07,Darius Garland,7.1,30.7,75,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Davion Mitchell,1.14,6,0.94,1,-2.0,64,-0.06,Davion Mitchell,2.9,27.4,74,Low (2-3 3PA/g),4,Mid-career (3-7 yrs)
De'Andre Hunter,2.45,4,1.92,4,-2.33,53,0.03,De'Andre Hunter,6.1,27.2,64,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Dean Wade,1.36,1,1.0,1,-1.0,54,0.02,Dean Wade,3.8,21.2,59,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Deni Avdija,1.74,6,0.33,5,-0.67,58,-0.03,Deni Avdija,4.8,30.0,72,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Dennis Schröder,1.69,4,1.0,0,,68,0.02,Dennis Schröder,4.9,28.1,75,Medium (3-5 3PA/g),12,Veteran (8+ yrs)
Derrick Jones Jr.,1.01,4,1.67,0,,70,-0.05,Derrick Jones Jr.,2.8,24.3,77,Low (2-3 3PA/g),9,Veteran (8+ yrs)
Desmond Bane,2.38,3,2.0,3,-2.0,60,-0.08,Desmond Bane,6.1,32.0,69,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Devin Vassell,2.47,4,1.17,4,-0.92,53,-0.03,Devin Vassell,6.7,31.0,64,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Dillon Brooks,2.48,3,2.11,2,-7.33,67,0.13,Dillon Brooks,6.3,31.8,75,High (5+ 3PA/g),8,Veteran (8+ yrs)
Donovan Mitchell,3.28,4,1.42,4,-1.25,60,0.01,Donovan Mitchell,8.9,31.4,71,High (5+ 3PA/g),8,Veteran (8+ yrs)
Donte DiVincenzo,2.81,5,1.87,2,-2.17,52,-0.12,Donte DiVincenzo,7.1,25.9,62,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Dorian Finney-Smith,2.05,2,2.33,1,-1.67,57,-0.13,Dorian Finney-Smith,5.0,28.9,63,High (5+ 3PA/g),9,Veteran (8+ yrs)
Draymond Green,1.18,0,,0,,65,-0.07,Draymond Green,3.6,29.2,68,Medium (3-5 3PA/g),13,Veteran (8+ yrs)
Duncan Robinson,2.57,2,1.5,0,,69,-0.09,Duncan Robinson,6.5,24.1,74,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Eric Gordon,1.44,7,0.67,0,,29,-0.08,Eric Gordon,3.5,19.7,39,Medium (3-5 3PA/g),17,Veteran (8+ yrs)
Evan Mobley,1.2,5,2.07,0,,63,-0.19,Evan Mobley,3.2,30.5,71,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Gabe Vincent,1.51,7,2.05,0,,62,-0.23,Gabe Vincent,4.3,21.2,72,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
