player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression,PLAYER_NAME,FG3A,MIN,GP,volume_tier,years_pro,experience_tier
Seth Curry,1.22,4,1.67,0,,61,-0.11,Seth Curry,2.7,15.6,68,Low (2-3 3PA/g),12,Veteran (8+ yrs)
Shaedon Sharpe,2.04,3,1.67,2,-2.0,64,-0.13,Shaedon Sharpe,6.6,31.3,72,High (5+ 3PA/g),3,Mid-career (3-7 yrs)
Simone Fontecchio,1.01,1,2.33,0,,71,-0.05,Simone Fontecchio,3.0,16.5,75,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Spencer Dinwiddie,1.38,7,1.62,1,-2.0,68,-0.12,Spencer Dinwiddie,4.1,27.0,79,Medium (3-5 3PA/g),12,Veteran (8+ yrs)
Stephon Castle,1.17,5,1.33,4,-0.75,69,-0.09,Stephon Castle,4.1,26.7,81,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Svi Mykhailiuk,1.84,2,2.83,0,,33,-0.35,Svi Mykhailiuk,5.3,20.0,38,High (5+ 3PA/g),7,Mid-career (3-7 yrs)
Tari Eason,1.11,2,0.67,1,-1.0,51,0.01,Tari Eason,3.2,24.9,57,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Taurean Prince,1.84,3,2.22,3,-2.11,71,-0.03,Taurean Prince,4.2,27.1,80,Medium (3-5 3PA/g),9,Veteran (8+ yrs)
Terance Mann,0.9,4,0.75,0,,60,-0.07,Terance Mann,2.4,21.1,67,Low (2-3 3PA/g),6,Mid-career (3-7 yrs)
Terry Rozier,1.42,5,0.53,0,,56,0.09,Terry Rozier,4.8,25.9,64,Medium (3-5 3PA/g),11,Veteran (8+ yrs)
Tidjane Salaün,0.97,2,1.33,0,,55,-0.03,Tidjane Salaün,3.4,20.7,60,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Tim Hardaway Jr.,2.18,4,2.17,3,-2.33,67,-0.0,Tim Hardaway Jr.,5.9,28.0,77,High (5+ 3PA/g),12,Veteran (8+ yrs)
Tobias Harris,1.25,7,1.71,0,,63,-0.21,Tobias Harris,3.6,31.6,73,Medium (3-5 3PA/g),14,Veteran (8+ yrs)
Trendon Watford,0.66,0,,0,,41,-0.04,Trendon Watford,2.0,20.7,44,Low (2-3 3PA/g),4,Mid-career (3-7 yrs)
Trey Lyles,1.17,5,1.93,0,,61,-0.18,Trey Lyles,3.4,19.6,69,Medium (3-5 3PA/g),11,Veteran (8+ yrs)
Tristan da Silva,1.08,2,2.83,0,,69,-0.1,Tristan da Silva,3.2,22.0,74,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Ty Jerome,1.59,6,2.28,0,,61,-0.3,Ty Jerome,3.6,19.9,70,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Tyrese Martin,1.65,4,1.92,1,-1.0,52,-0.13,Tyrese Martin,4.7,21.9,60,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Tyus Jones,2.05,6,1.22,2,-2.67,70,-0.05,Tyus Jones,5.0,26.8,81,High (5+ 3PA/g),10,Veteran (8+ yrs)
Vasilije Micic,1.1,2,1.17,0,,36,-0.06,Vasilije Micic,3.0,19.1,41,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Vít Krejčí,1.58,2,3.17,7,-0.14,45,-0.15,Vít Krejčí,3.6,20.2,57,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Wendell Carter Jr.,0.54,8,1.0,0,,57,-0.13,Wendell Carter Jr.,2.3,25.9,68,Low (2-3 3PA/g),7,Mid-career (3-7 yrs)
Zaccharie Risacher,1.63,4,2.83,2,-2.0,66,-0.16,Zaccharie Risacher,4.6,24.6,75,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Ziaire Williams,1.63,5,2.6,4,-0.75,51,-0.2,Ziaire Williams,4.8,24.5,63,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
