player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins
Aaron Holiday,2.3333333333333335,2.0,0.3333333333333335,DEN,away,Elite (top 10),0.355,97.43,9.064102564102562,False,1.08,1.08,2.3333333333333335,2.0,0.9199999999999999,0.3333333333333335,False
Aaron Holiday,3.0,1.0,2.0,SAS,home,Bad (21-30),0.373,101.8,2.73076923076923,True,1.08,1.08,3.0,1.0,0.08000000000000007,2.0,True
Aaron Holiday,3.0,2.0,1.0,MEM,home,Bad (21-30),0.378,98.68,3.064102564102562,False,1.08,1.08,3.0,2.0,0.9199999999999999,1.0,True
Aaron Holiday,2.3333333333333335,0.0,2.3333333333333335,PHI,home,Elite (top 10),0.354,98.17,5.064102564102562,False,1.08,1.08,2.3333333333333335,0.0,1.08,2.3333333333333335,True
Aaron Holiday,2.3333333333333335,2.0,0.3333333333333335,NYK,home,Mid (11-20),0.365,95.96,8.064102564102562,False,1.08,1.08,2.3333333333333335,2.0,0.9199999999999999,0.3333333333333335,False
Aaron Holiday,2.3333333333333335,5.0,-2.6666666666666665,MEM,away,Bad (21-30),0.378,98.68,10.064102564102562,False,1.08,1.08,2.3333333333333335,5.0,3.92,2.6666666666666665,False
Aaron Holiday,3.3333333333333335,0.0,3.3333333333333335,NOP,away,Elite (top 10),0.349,98.7,9.73076923076923,False,1.08,1.08,3.3333333333333335,0.0,1.08,3.3333333333333335,True
Aaron Holiday,2.3333333333333335,0.0,2.3333333333333335,PHX,home,Mid (11-20),0.364,99.0,5.064102564102562,False,1.08,1.08,2.3333333333333335,0.0,1.08,2.3333333333333335,True
Aaron Nesmith,3.3333333333333335,1.0,2.3333333333333335,ORL,home,Elite (top 10),0.358,97.37,-2.0138888888888893,True,1.94,1.94,3.3333333333333335,1.0,0.94,2.3333333333333335,True
Aaron Nesmith,4.333333333333333,1.0,3.333333333333333,MIL,away,Elite (top 10),0.356,100.51,3.9861111111111107,False,1.94,1.94,4.333333333333333,1.0,0.94,3.333333333333333,True
Aaron Nesmith,4.0,1.0,3.0,MIL,home,Elite (top 10),0.356,100.51,2.9861111111111107,False,1.94,1.94,4.0,1.0,0.94,3.0,True
Al Horford,3.3333333333333335,2.0,1.3333333333333335,WAS,away,Mid (11-20),0.362,103.07,4.866666666666667,False,1.66,1.66,3.3333333333333335,2.0,0.3400000000000001,1.3333333333333335,True
Al Horford,3.6666666666666665,2.0,1.6666666666666665,MIL,home,Elite (top 10),0.356,100.51,1.8666666666666671,True,1.66,1.66,3.6666666666666665,2.0,0.3400000000000001,1.6666666666666665,True
Al Horford,3.3333333333333335,5.0,-1.6666666666666665,CHI,away,Mid (11-20),0.37,96.94,4.533333333333331,False,1.66,1.66,3.3333333333333335,5.0,3.34,1.6666666666666665,False
Al Horford,3.0,1.0,2.0,ATL,away,Bad (21-30),0.384,100.84,3.866666666666667,False,1.66,1.66,3.0,1.0,0.6599999999999999,2.0,True
Alec Burks,3.6666666666666665,3.0,0.6666666666666665,OKC,away,Mid (11-20),0.361,100.85,8.984848484848484,True,1.88,1.88,3.6666666666666665,3.0,1.12,0.6666666666666665,False
Alec Burks,4.0,2.0,2.0,CHI,away,Mid (11-20),0.37,96.94,7.651515151515152,False,1.88,1.88,4.0,2.0,0.1200000000000001,2.0,True
Alec Burks,3.6666666666666665,4.0,-0.3333333333333335,ATL,home,Bad (21-30),0.384,100.84,4.31818181818182,False,1.88,1.88,3.6666666666666665,4.0,2.12,0.3333333333333335,False
Alec Burks,3.6666666666666665,3.0,0.6666666666666665,GSW,away,Mid (11-20),0.359,99.91,6.984848484848484,False,1.88,1.88,3.6666666666666665,3.0,1.12,0.6666666666666665,False
Alec Burks,3.6666666666666665,3.0,0.6666666666666665,DEN,away,Elite (top 10),0.355,97.43,7.651515151515152,False,1.88,1.88,3.6666666666666665,3.0,1.12,0.6666666666666665,False
Alec Burks,3.6666666666666665,3.0,0.6666666666666665,SAC,home,Bad (21-30),0.387,99.46,6.651515151515152,True,1.88,1.88,3.6666666666666665,3.0,1.12,0.6666666666666665,False
Alec Burks,4.666666666666667,1.0,3.666666666666667,MIN,home,Elite (top 10),0.354,97.79,7.984848484848484,True,1.88,1.88,4.666666666666667,1.0,0.8799999999999999,3.666666666666667,True
Alec Burks,4.666666666666667,7.0,-2.333333333333333,MIL,home,Elite (top 10),0.356,100.51,7.984848484848484,False,1.88,1.88,4.666666666666667,7.0,5.12,2.333333333333333,False
Alec Burks,5.333333333333333,3.0,2.333333333333333,MIL,home,Elite (top 10),0.356,100.51,7.984848484848484,True,1.88,1.88,5.333333333333333,3.0,1.12,2.333333333333333,True
Alec Burks,3.6666666666666665,4.0,-0.3333333333333335,CHA,home,Bad (21-30),0.377,97.81,7.651515151515152,False,1.88,1.88,3.6666666666666665,4.0,2.12,0.3333333333333335,False
Alec Burks,4.666666666666667,1.0,3.666666666666667,WAS,home,Mid (11-20),0.362,103.07,9.651515151515152,False,1.88,1.88,4.666666666666667,1.0,0.8799999999999999,3.666666666666667,True
Alex Caruso,3.3333333333333335,2.0,1.3333333333333335,MIA,home,Elite (top 10),0.353,96.88,-2.732394366197184,False,1.92,1.92,3.3333333333333335,2.0,0.08000000000000007,1.3333333333333335,True
Alex Caruso,3.3333333333333335,2.0,1.3333333333333335,POR,away,Elite (top 10),0.351,97.88,2.267605633802816,False,1.92,1.92,3.3333333333333335,2.0,0.08000000000000007,1.3333333333333335,True
Alex Caruso,3.3333333333333335,1.0,2.3333333333333335,TOR,home,Bad (21-30),0.376,99.91,4.600938967136152,False,1.92,1.92,3.3333333333333335,1.0,0.9199999999999999,2.3333333333333335,True
Alex Caruso,3.6666666666666665,2.0,1.6666666666666665,WAS,home,Mid (11-20),0.362,103.07,2.6009389671361482,True,1.92,1.92,3.6666666666666665,2.0,0.08000000000000007,1.6666666666666665,True
Alex Caruso,4.0,1.0,3.0,POR,home,Elite (top 10),0.351,97.88,6.93427230046948,False,1.92,1.92,4.0,1.0,0.9199999999999999,3.0,True
Alex Caruso,3.6666666666666665,2.0,1.6666666666666665,ATL,home,Bad (21-30),0.384,100.84,3.600938967136152,False,1.92,1.92,3.6666666666666665,2.0,0.08000000000000007,1.6666666666666665,True
Alex Caruso,3.6666666666666665,1.0,2.6666666666666665,NYK,home,Mid (11-20),0.365,95.96,4.93427230046948,True,1.92,1.92,3.6666666666666665,1.0,0.9199999999999999,2.6666666666666665,True
Alex Caruso,3.3333333333333335,3.0,0.3333333333333335,NYK,home,Mid (11-20),0.365,95.96,4.600938967136152,False,1.92,1.92,3.3333333333333335,3.0,1.08,0.3333333333333335,False
Amir Coffey,2.3333333333333335,0.0,2.3333333333333335,TOR,away,Bad (21-30),0.376,99.91,-2.5095238095238095,False,1.0,1.0,2.3333333333333335,0.0,1.0,2.3333333333333335,True
Amir Coffey,2.6666666666666665,2.0,0.6666666666666665,NOP,away,Elite (top 10),0.349,98.7,2.4904761904761905,False,1.0,1.0,2.6666666666666665,2.0,1.0,0.6666666666666665,False
Amir Coffey,2.6666666666666665,0.0,2.6666666666666665,HOU,home,Elite (top 10),0.348,99.59,13.157142857142858,False,1.0,1.0,2.6666666666666665,0.0,1.0,2.6666666666666665,True
Andrew Nembhard,2.0,0.0,2.0,PHI,away,Elite (top 10),0.354,98.17,-6.578431372549019,False,0.9,0.9,2.0,0.0,0.9,2.0,True
Andrew Nembhard,2.0,1.0,1.0,BKN,home,Bad (21-30),0.372,97.56,4.421568627450981,True,0.9,0.9,2.0,1.0,0.09999999999999998,1.0,True
Andrew Nembhard,2.0,0.0,2.0,BKN,away,Bad (21-30),0.372,97.56,4.421568627450981,True,0.9,0.9,2.0,0.0,0.9,2.0,True
Andrew Wiggins,2.6666666666666665,2.0,0.6666666666666665,LAL,home,Bad (21-30),0.376,101.38,1.929577464788732,False,1.28,1.28,2.6666666666666665,2.0,0.72,0.6666666666666665,False
Ayo Dosunmu,3.0,0.0,3.0,MIN,home,Elite (top 10),0.354,97.79,9.855263157894736,False,1.57,1.57,3.0,0.0,1.57,3.0,True
Ayo Dosunmu,4.0,4.0,0.0,CLE,away,Bad (21-30),0.371,97.62,5.855263157894736,False,1.57,1.57,4.0,4.0,2.4299999999999997,0.0,False
Ayo Dosunmu,4.666666666666667,2.0,2.666666666666667,BOS,home,Elite (top 10),0.352,97.98,7.855263157894736,False,1.57,1.57,4.666666666666667,2.0,0.42999999999999994,2.666666666666667,True
