player,stat,season_avg,during_hot,next_game_stat,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins
AJ Green,PA,8.89041095890411,15.0,12.0,8.89041095890411,15.0,12.0,3.109589041095891,3.0,False
AJ Green,PA,8.89041095890411,15.0,0.0,8.89041095890411,15.0,0.0,8.89041095890411,15.0,True
Aaron Gordon,PA,17.88235294117647,27.666666666666668,17.0,17.88235294117647,27.666666666666668,17.0,0.882352941176471,10.666666666666668,True
Aaron Gordon,PA,17.88235294117647,29.333333333333332,27.0,17.88235294117647,29.333333333333332,27.0,9.117647058823529,2.333333333333332,False
Aaron Gordon,PA,17.88235294117647,31.333333333333332,21.0,17.88235294117647,31.333333333333332,21.0,3.117647058823529,10.333333333333332,True
Aaron Nesmith,PA,13.222222222222221,22.333333333333332,16.0,13.222222222222221,22.333333333333332,16.0,2.7777777777777786,6.333333333333332,True
Aaron Nesmith,PA,13.222222222222221,20.0,20.0,13.222222222222221,20.0,20.0,6.777777777777779,0.0,False
Aaron Nesmith,PA,13.222222222222221,23.333333333333332,14.0,13.222222222222221,23.333333333333332,14.0,0.7777777777777786,9.333333333333332,True
Aaron Nesmith,PA,13.222222222222221,22.0,7.0,13.222222222222221,22.0,7.0,6.222222222222221,15.0,True
Aaron Wiggins,PA,13.789473684210526,26.333333333333332,20.0,13.789473684210526,26.333333333333332,20.0,6.210526315789474,6.333333333333332,True
Aaron Wiggins,PA,13.789473684210526,24.0,13.0,13.789473684210526,24.0,13.0,0.7894736842105257,11.0,True
Adem Bona,PA,6.275862068965517,14.0,16.0,6.275862068965517,14.0,16.0,9.724137931034484,2.0,False
Adem Bona,PA,6.275862068965517,14.333333333333334,7.0,6.275862068965517,14.333333333333334,7.0,0.7241379310344831,7.333333333333334,True
Adem Bona,PA,6.275862068965517,13.333333333333334,11.0,6.275862068965517,13.333333333333334,11.0,4.724137931034483,2.333333333333334,False
Adem Bona,PA,6.275862068965517,14.0,28.0,6.275862068965517,14.0,28.0,21.724137931034484,14.0,False
Adem Bona,PA,6.275862068965517,17.666666666666668,6.0,6.275862068965517,17.666666666666668,6.0,0.2758620689655169,11.666666666666668,True
Adem Bona,PA,6.275862068965517,15.0,17.0,6.275862068965517,15.0,17.0,10.724137931034484,2.0,False
Adem Bona,PA,6.275862068965517,17.0,17.0,6.275862068965517,17.0,17.0,10.724137931034484,0.0,False
Adem Bona,PA,6.275862068965517,13.333333333333334,19.0,6.275862068965517,13.333333333333334,19.0,12.724137931034484,5.666666666666666,False
Adem Bona,PA,6.275862068965517,17.666666666666668,16.0,6.275862068965517,17.666666666666668,16.0,9.724137931034484,1.6666666666666679,False
Ajay Mitchell,PA,8.277777777777779,14.333333333333334,3.0,8.277777777777779,14.333333333333334,3.0,5.277777777777779,11.333333333333334,True
Al Horford,PA,11.1,17.0,12.0,11.1,17.0,12.0,0.9000000000000004,5.0,True
Al Horford,PA,11.1,17.666666666666668,5.0,11.1,17.666666666666668,5.0,6.1,12.666666666666668,True
Al Horford,PA,11.1,17.666666666666668,24.0,11.1,17.666666666666668,24.0,12.9,6.333333333333332,False
Al Horford,PA,11.1,19.333333333333332,14.0,11.1,19.333333333333332,14.0,2.9000000000000004,5.333333333333332,True
Al Horford,PA,11.1,18.666666666666668,10.0,11.1,18.666666666666668,10.0,1.0999999999999996,8.666666666666668,True
Al Horford,PA,11.1,21.333333333333332,9.0,11.1,21.333333333333332,9.0,2.0999999999999996,12.333333333333332,True
Al Horford,PA,11.1,19.333333333333332,15.0,11.1,19.333333333333332,15.0,3.9000000000000004,4.333333333333332,True
Al Horford,PA,11.1,17.333333333333332,13.0,11.1,17.333333333333332,13.0,1.9000000000000004,4.333333333333332,True
Alec Burks,PA,8.387755102040817,16.666666666666668,5.0,8.387755102040817,16.666666666666668,5.0,3.387755102040817,11.666666666666668,True
Alec Burks,PA,8.387755102040817,15.333333333333334,15.0,8.387755102040817,15.333333333333334,15.0,6.612244897959183,0.3333333333333339,False
Alex Caruso,PA,9.61111111111111,15.333333333333334,10.0,9.61111111111111,15.333333333333334,10.0,0.3888888888888893,5.333333333333334,True
Alex Caruso,PA,9.61111111111111,16.333333333333332,4.0,9.61111111111111,16.333333333333332,4.0,5.611111111111111,12.333333333333332,True
Alex Caruso,PA,9.61111111111111,16.333333333333332,7.0,9.61111111111111,16.333333333333332,7.0,2.6111111111111107,9.333333333333332,True
Alex Caruso,PA,9.61111111111111,15.666666666666666,8.0,9.61111111111111,15.666666666666666,8.0,1.6111111111111107,7.666666666666666,True
Alex Sarr,PA,15.373134328358208,23.666666666666668,23.0,15.373134328358208,23.666666666666668,23.0,7.6268656716417915,0.6666666666666679,False
Alex Sarr,PA,15.373134328358208,28.0,24.0,15.373134328358208,28.0,24.0,8.626865671641792,4.0,False
Alex Sarr,PA,15.373134328358208,28.666666666666668,21.0,15.373134328358208,28.666666666666668,21.0,5.6268656716417915,7.666666666666668,True
Alex Sarr,PA,15.373134328358208,22.666666666666668,9.0,15.373134328358208,22.666666666666668,9.0,6.3731343283582085,13.666666666666668,True
Alex Sarr,PA,15.373134328358208,22.333333333333332,13.0,15.373134328358208,22.333333333333332,13.0,2.3731343283582085,9.333333333333332,True
Alperen Sengun,PA,23.986842105263158,32.333333333333336,26.0,23.986842105263158,32.333333333333336,26.0,2.0131578947368425,6.333333333333336,True
Amir Coffey,PA,10.73611111111111,16.666666666666668,9.0,10.73611111111111,16.666666666666668,9.0,1.7361111111111107,7.666666666666668,True
Amir Coffey,PA,10.73611111111111,20.333333333333332,10.0,10.73611111111111,20.333333333333332,10.0,0.7361111111111107,10.333333333333332,True
Amir Coffey,PA,10.73611111111111,19.0,7.0,10.73611111111111,19.0,7.0,3.7361111111111107,12.0,True
Andre Drummond,PA,8.175,16.666666666666668,7.0,8.175,16.666666666666668,7.0,1.1750000000000007,9.666666666666668,True
Andre Drummond,PA,8.175,15.0,11.0,8.175,15.0,11.0,2.8249999999999993,4.0,True
Andre Drummond,PA,8.175,14.666666666666666,6.0,8.175,14.666666666666666,6.0,2.1750000000000007,8.666666666666666,True
Andrew Nembhard,PA,15.061538461538461,21.333333333333332,25.0,15.061538461538461,21.333333333333332,25.0,9.938461538461539,3.666666666666668,False
Andrew Nembhard,PA,15.061538461538461,24.333333333333332,13.0,15.061538461538461,24.333333333333332,13.0,2.0615384615384613,11.333333333333332,True
Andrew Nembhard,PA,15.061538461538461,22.666666666666668,12.0,15.061538461538461,22.666666666666668,12.0,3.0615384615384613,10.666666666666668,True
Andrew Nembhard,PA,15.061538461538461,21.333333333333332,18.0,15.061538461538461,21.333333333333332,18.0,2.9384615384615387,3.333333333333332,True
Andrew Nembhard,PA,15.061538461538461,22.0,19.0,15.061538461538461,22.0,19.0,3.9384615384615387,3.0,False
Andrew Wiggins,PA,20.6,29.0,23.0,20.6,29.0,23.0,2.3999999999999986,6.0,True
Andrew Wiggins,PA,20.6,29.333333333333332,19.0,20.6,29.333333333333332,19.0,1.6000000000000014,10.333333333333332,True
Andrew Wiggins,PA,20.6,29.666666666666668,15.0,20.6,29.666666666666668,15.0,5.600000000000001,14.666666666666668,True
Andrew Wiggins,PA,20.6,31.666666666666668,19.0,20.6,31.666666666666668,19.0,1.6000000000000014,12.666666666666668,True
Anthony Black,PA,12.512820512820513,19.666666666666668,9.0,12.512820512820513,19.666666666666668,9.0,3.5128205128205128,10.666666666666668,True
Anthony Black,PA,12.512820512820513,21.0,16.0,12.512820512820513,21.0,16.0,3.4871794871794872,5.0,True
Anthony Black,PA,12.512820512820513,20.666666666666668,17.0,12.512820512820513,20.666666666666668,17.0,4.487179487179487,3.666666666666668,False
Anthony Black,PA,12.512820512820513,20.0,10.0,12.512820512820513,20.0,10.0,2.5128205128205128,10.0,True
Antonio Reeves,PA,7.818181818181818,17.333333333333332,2.0,7.818181818181818,17.333333333333332,2.0,5.818181818181818,15.333333333333332,True
Antonio Reeves,PA,7.818181818181818,18.0,19.0,7.818181818181818,18.0,19.0,11.181818181818182,1.0,False
Antonio Reeves,PA,7.818181818181818,21.0,23.0,7.818181818181818,21.0,23.0,15.181818181818182,2.0,False
Antonio Reeves,PA,7.818181818181818,20.333333333333332,20.0,7.818181818181818,20.333333333333332,20.0,12.181818181818182,0.33333333333333215,False
Ausar Thompson,PA,12.338983050847459,18.333333333333332,20.0,12.338983050847459,18.333333333333332,20.0,7.6610169491525415,1.6666666666666679,False
Ausar Thompson,PA,12.338983050847459,20.0,26.0,12.338983050847459,20.0,26.0,13.661016949152541,6.0,False
Ausar Thompson,PA,12.338983050847459,22.0,12.0,12.338983050847459,22.0,12.0,0.3389830508474585,10.0,True
Ausar Thompson,PA,12.338983050847459,19.333333333333332,16.0,12.338983050847459,19.333333333333332,16.0,3.6610169491525415,3.333333333333332,False
Ausar Thompson,PA,12.338983050847459,18.0,13.0,12.338983050847459,18.0,13.0,0.6610169491525415,5.0,True
Ausar Thompson,PA,12.338983050847459,18.666666666666668,11.0,12.338983050847459,18.666666666666668,11.0,1.3389830508474585,7.666666666666668,True
