player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression
DaQuan Jeffries,1.17,8,0.67,4,-0.5,32,-0.09
Dalano Banton,1.07,2,1.33,0,,62,-0.1
Dalton Knecht,1.64,6,1.94,0,,69,-0.2
Darius Garland,2.83,3,3.11,2,-1.67,67,-0.07
Davion Mitchell,1.14,6,0.94,1,-2.0,64,-0.06
De'Andre Hunter,2.45,4,1.92,4,-2.33,53,0.03
Dean Wade,1.36,1,1.0,1,-1.0,54,0.02
Deni Avdija,1.74,6,0.33,5,-0.67,58,-0.03
Dennis Schröder,1.69,4,1.0,0,,68,0.02
Derrick Jones Jr.,1.01,4,1.67,0,,70,-0.05
Desmond Bane,2.38,3,2.0,3,-2.0,60,-0.08
Devin Vassell,2.47,4,1.17,4,-0.92,53,-0.03
Dillon Brooks,2.48,3,2.11,2,-7.33,67,0.13
Donovan Mitchell,3.28,4,1.42,4,-1.25,60,0.01
Donte DiVincenzo,2.81,5,1.87,2,-2.17,52,-0.12
Dorian Finney-Smith,2.05,2,2.33,1,-1.67,57,-0.13
Draymond Green,1.18,0,,0,,65,-0.07
Duncan Robinson,2.57,2,1.5,0,,69,-0.09
Eric Gordon,1.44,7,0.67,0,,29,-0.08
Evan Mobley,1.2,5,2.07,0,,63,-0.19
Gabe Vincent,1.51,7,2.05,0,,62,-0.23
Garrison Mathews,1.81,4,1.83,2,-2.5,38,0.04
Gary Trent Jr.,2.43,7,2.1,4,-1.25,60,-0.2
Georges Niang,2.1,5,2.0,0,,71,-0.19
Gradey Dick,2.11,2,3.5,0,,49,-0.09
Grayson Allen,2.33,1,3.33,0,,60,-0.13
Guerschon Yabusele,1.49,1,3.33,0,,66,-0.09
Harrison Barnes,1.9,5,1.6,5,-3.0,69,0.07
Haywood Highsmith,1.2,3,2.67,4,-1.5,64,-0.08
Immanuel Quickley,2.58,1,4.0,1,-2.0,28,-0.1
Isaac Okoro,1.02,0,,0,,52,-0.08
Isaiah Collier,0.59,7,1.14,0,,61,-0.16
Isaiah Joe,2.59,4,3.67,0,,67,-0.3
Ja Morant,1.76,3,0.11,1,-1.67,43,-0.09
Ja'Kobe Walter,1.25,3,1.0,0,,46,-0.15
Jabari Smith Jr.,1.72,0,,4,-1.5,50,0.09
Jaden Hardy,1.33,3,2.89,0,,51,-0.2
Jaden Ivey,2.1,0,,2,-1.83,25,-0.01
Jaden McDaniels,1.22,3,1.44,3,-0.67,73,-0.03
Jake LaRavia,0.91,5,1.6,0,,58,-0.18
Jalen Smith,1.12,5,0.8,2,-1.5,54,0.02
Jalen Suggs,2.17,3,2.0,0,,29,-0.13
Jalen Wilson,1.54,3,0.56,1,-1.0,72,-0.13
Jamal Shead,0.96,5,1.33,7,-0.43,60,-0.08
Jamison Battle,1.78,1,2.67,2,-0.5,53,-0.16
Jarace Walker,1.0,6,0.67,0,,66,-0.1
Jared Butler,1.0,9,0.74,0,,48,-0.22
Jaren Jackson Jr.,1.97,4,1.17,2,-0.17,65,-0.09
Javonte Green,0.68,1,0.67,0,,64,0.01
Jaylen Wells,1.75,1,1.67,0,,75,-0.01
Jaylin Williams,1.3,3,1.89,0,,41,-0.12
Jeremiah Robinson-Earl,0.85,0,,0,,63,-0.03
John Collins,1.48,3,1.11,0,,34,-0.09
Johnny Juzang,1.84,5,1.47,4,-1.0,52,-0.13
Jonathan Isaac,0.55,0,,0,,68,0.03
Jonathan Kuminga,0.98,2,1.33,0,,42,-0.06
Jordan Clarkson,2.27,4,0.33,0,,30,-0.09
Jordan Hawkins,1.96,0,,0,,53,0.02
Jordan Poole,3.46,2,0.5,0,,63,0.07
Jose Alvarado,1.98,4,2.33,2,-4.67,47,-0.06
Josh Giddey,1.5,7,1.0,1,-1.67,59,-0.11
Josh Green,1.43,2,2.0,0,,63,-0.06
Josh Okogie,0.8,0,,0,,37,-0.08
Jrue Holiday,1.74,2,3.0,0,,57,-0.09
Julian Champagnie,2.17,3,2.89,4,-0.92,72,-0.14
Julian Strawther,1.45,4,1.33,3,0.0,55,-0.04
Justin Champagnie,1.19,1,0.67,0,,58,-0.11
Justin Edwards,1.57,6,0.89,2,-1.5,33,-0.12
Jusuf Nurkić,0.63,4,1.25,0,,44,-0.14
KJ Simpson,0.92,2,1.67,0,,31,-0.11
Kawhi Leonard,2.11,0,,3,-0.78,31,-0.04
Keaton Wallace,0.87,3,1.56,0,,25,-0.15
Keldon Johnson,1.13,5,1.93,0,,69,-0.15
Kenrich Williams,0.96,8,1.12,0,,58,-0.16
Kentavious Caldwell-Pope,1.47,6,1.78,0,,68,-0.15
Keon Ellis,1.74,3,2.78,0,,74,-0.15
Keon Johnson,1.59,6,1.72,2,-1.0,68,-0.17
Kevin Huerter,1.91,4,2.08,1,-1.0,61,-0.13
Kevin Porter Jr.,0.73,3,1.11,0,,69,-0.07
Keyonte George,2.6,2,2.67,2,-2.33,60,0.01
Khris Middleton,1.3,5,1.13,0,,29,-0.23
Klay Thompson,3.0,4,3.33,1,-2.0,64,-0.09
Kris Dunn,1.01,1,1.67,0,,70,-0.04
Kristaps Porziņģis,2.45,4,2.42,0,,35,-0.37
Kyle Filipowski,1.07,9,0.89,0,,60,-0.16
Kyle Kuzma,1.48,3,1.44,0,,59,-0.12
Kyle Lowry,0.83,6,0.83,0,,26,-0.04
Kyshawn George,1.68,5,1.8,2,-0.5,58,-0.18
LaMelo Ball,3.81,0,,0,,44,0.08
Landry Shamet,1.24,3,1.67,0,,44,-0.35
Lauri Markkanen,2.94,3,2.67,0,,41,-0.2
Lindy Waters III,1.23,0,,0,,49,-0.1
Lonzo Ball,1.91,4,1.5,0,,28,-0.32
Luguentz Dort,2.39,3,4.11,2,-2.33,63,-0.16
Luke Kennard,1.74,2,4.0,0,,60,-0.11
Malik Beasley,3.89,3,1.78,2,-3.5,74,-0.03
Malik Monk,2.14,6,1.17,2,-0.67,54,-0.04
Marcus Smart,1.44,2,3.0,0,,29,-0.21
Matas Buzelis,1.2,8,1.17,0,,69,-0.19
Max Christie,1.47,10,1.3,1,-2.0,64,-0.2
Max Strus,2.26,1,3.0,1,-3.33,45,-0.12
Micah Potter,0.82,0,,0,,35,0.04
Mike Conley,1.79,0,,1,0.33,67,0.04
Miles Bridges,2.2,7,1.86,2,-0.33,52,-0.21
Miles McBride,1.8,3,1.67,1,-2.67,57,-0.06
Moritz Wagner,0.9,2,1.5,2,-0.5,23,-0.06
Moses Moody,1.7,2,2.33,2,-1.33,67,-0.0
Mouhamed Gueye,0.64,1,1.67,0,,29,-0.11
Myles Turner,2.17,3,1.33,0,,66,-0.05
Naji Marshall,0.87,4,0.75,0,,62,-0.09
Naz Reid,2.19,4,1.08,1,-2.67,72,0.01
Nick Smith Jr.,1.73,3,2.0,3,-2.0,51,-0.12
Nickeil Alexander-Walker,1.72,4,2.25,4,-1.67,71,-0.02
Nicolas Batum,1.13,7,0.86,0,,68,-0.17
Nikola Jović,1.7,3,1.0,2,-1.17,38,0.04
Nikola Vučević,1.77,6,1.78,2,-1.83,62,-0.05
Noah Clowney,1.89,2,1.83,0,,41,-0.09
Obi Toppin,1.39,7,1.62,0,,69,-0.17
Ochai Agbaji,1.58,5,1.4,0,,56,-0.19
Onyeka Okongwu,0.65,5,1.0,0,,66,-0.08
Patrick Williams,1.52,2,2.17,0,,58,-0.09
Payton Pritchard,3.19,6,3.0,2,-2.67,69,-0.16
Peyton Watson,0.71,5,1.33,0,,60,-0.14
Quentin Grimes,2.16,6,2.11,3,-1.78,63,-0.17
Quinten Post,1.74,3,1.33,0,,36,-0.12
Ricky Council IV,0.75,6,1.67,0,,64,-0.18
Royce O'Neale,2.39,6,2.0,0,,66,-0.18
Rui Hachimura,1.73,1,2.67,2,-1.67,53,0.01
Russell Westbrook,1.25,3,1.56,2,-0.5,67,-0.06
Ryan Dunn,1.11,7,0.76,0,,64,-0.09
Sam Hauser,2.34,3,2.11,1,-3.0,64,-0.14
Sam Merrill,1.93,3,1.44,0,,65,-0.12
Santi Aldama,1.85,0,,1,-3.0,61,0.08
Scoot Henderson,1.59,5,1.47,0,,58,-0.15
Scotty Pippen Jr.,1.1,7,1.38,0,,69,-0.14
Seth Curry,1.22,4,1.67,0,,61,-0.11
Shaedon Sharpe,2.04,3,1.67,2,-2.0,64,-0.13
Simone Fontecchio,1.01,1,2.33,0,,71,-0.05
Spencer Dinwiddie,1.38,7,1.62,1,-2.0,68,-0.12
Stephon Castle,1.17,5,1.33,4,-0.75,69,-0.09
Svi Mykhailiuk,1.84,2,2.83,0,,33,-0.35
Tari Eason,1.11,2,0.67,1,-1.0,51,0.01
Taurean Prince,1.84,3,2.22,3,-2.11,71,-0.03
Terance Mann,0.9,4,0.75,0,,60,-0.07
Terry Rozier,1.42,5,0.53,0,,56,0.09
Tidjane Salaün,0.97,2,1.33,0,,55,-0.03
Tim Hardaway Jr.,2.18,4,2.17,3,-2.33,67,-0.0
Tobias Harris,1.25,7,1.71,0,,63,-0.21
Trendon Watford,0.66,0,,0,,41,-0.04
Trey Lyles,1.17,5,1.93,0,,61,-0.18
Tristan da Silva,1.08,2,2.83,0,,69,-0.1
Ty Jerome,1.59,6,2.28,0,,61,-0.3
Tyrese Martin,1.65,4,1.92,1,-1.0,52,-0.13
Tyus Jones,2.05,6,1.22,2,-2.67,70,-0.05
Vasilije Micic,1.1,2,1.17,0,,36,-0.06
Vít Krejčí,1.58,2,3.17,7,-0.14,45,-0.15
Wendell Carter Jr.,0.54,8,1.0,0,,57,-0.13
Zaccharie Risacher,1.63,4,2.83,2,-2.0,66,-0.16
Ziaire Williams,1.63,5,2.6,4,-0.75,51,-0.2
