player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression
AJ Green,2.12,2,2.33,0,,68,-0.09
Aaron Gordon,1.47,5,1.53,0,,43,-0.18
Aaron Nesmith,1.87,4,1.42,4,-1.25,34,-0.08
Aaron Wiggins,1.71,7,1.33,1,-6.0,65,-0.11
Al Horford,1.9,2,2.67,4,-0.83,51,-0.03
Alec Burks,1.8,2,1.67,1,-1.0,43,-0.06
Alex Caruso,1.11,1,2.67,1,-1.0,49,-0.08
Alex Sarr,1.57,5,1.0,0,,59,-0.07
Amir Coffey,1.4,7,2.67,0,,62,-0.28
Andrew Nembhard,0.78,3,1.0,5,-0.6,54,0.0
Andrew Wiggins,2.17,1,1.67,2,-1.0,54,0.1
Anthony Black,0.79,2,1.0,0,,73,-0.06
Antonio Reeves,1.16,5,1.33,0,,36,-0.21
Ayo Dosunmu,1.35,5,0.67,4,-1.17,34,0.05
Ben Sheppard,1.08,4,2.0,0,,56,-0.14
Bennedict Mathurin,1.36,5,2.53,2,-2.5,62,-0.12
Bobby Portis,1.33,1,3.0,0,,45,-0.09
Bogdan Bogdanović,1.94,1,3.33,1,-2.67,49,0.0
Brandin Podziemski,1.8,5,1.47,0,,56,-0.18
Brandon Boston,1.17,2,1.83,0,,37,-0.14
Brice Sensabaugh,2.21,2,0.83,7,-1.33,59,-0.04
Brook Lopez,1.74,5,2.4,2,-2.67,70,-0.07
Bruce Brown,0.66,5,0.87,0,,33,-0.14
Bub Carrington,1.68,6,2.06,3,-1.67,70,-0.11
Buddy Hield,2.48,2,1.83,2,-2.17,75,0.03
Caleb Martin,0.82,3,2.0,0,,39,-0.16
Cam Whitmore,1.27,1,1.0,0,,47,-0.17
Cameron Johnson,2.79,2,4.17,0,,52,-0.11
Cameron Payne,1.29,7,0.29,1,-1.0,61,-0.02
Caris LeVert,1.66,1,2.33,0,,60,-0.06
Cason Wallace,1.09,0,,1,-2.0,64,0.03
Chet Holmgren,1.38,1,3.33,0,,28,-0.08
Chris Boucher,1.4,3,1.89,0,,44,-0.13
Chris Paul,1.71,4,1.58,1,-0.67,74,-0.06
Cody Martin,0.81,4,1.42,0,,46,-0.06
Cody Williams,0.7,2,1.17,0,,45,-0.07
Cole Anthony,1.15,5,1.6,5,-0.6,54,-0.12
Collin Sexton,1.75,2,1.5,1,-3.67,57,0.0
Corey Kispert,1.97,3,1.44,2,-0.67,53,0.01
D'Angelo Russell,1.95,2,3.0,0,,53,-0.09
